2026-05-22 12:52:29 | INFO     | student_mgmt | REQUEST  POST /auth/login
2026-05-22 12:52:29 | INFO     | student_mgmt | Login attempt for username='admin'
2026-05-22 12:52:29 | WARNING  | student_mgmt | Login FAILED for username='admin' — invalid credentials
2026-05-22 12:52:29 | WARNING  | student_mgmt | RESPONSE POST /auth/login -> 401  (389.05 ms)
2026-05-22 12:52:30 | INFO     | student_mgmt | REQUEST  POST /auth/login
2026-05-22 12:52:30 | INFO     | student_mgmt | Login attempt for username='admin'
2026-05-22 12:52:30 | WARNING  | student_mgmt | Login FAILED for username='admin' — invalid credentials
2026-05-22 12:52:30 | WARNING  | student_mgmt | RESPONSE POST /auth/login -> 401  (354.73 ms)
2026-05-22 13:15:34 | INFO     | student_mgmt | Student Management System started.
2026-05-22 13:15:34 | INFO     | student_mgmt | Student Management System started.
2026-05-22 13:15:35 | INFO     | student_mgmt | Student Management System started.
2026-05-22 13:36:30 | INFO     | student_mgmt | Student Management System started.
2026-05-22 13:36:30 | INFO     | student_mgmt | Student Management System started.
2026-05-22 13:36:31 | INFO     | student_mgmt | Student Management System started.
2026-05-22 10:39:09 | INFO     | student_mgmt | Student Management System started.
2026-05-22 10:39:45 | INFO     | student_mgmt | REQUEST  GET /docs
2026-05-22 10:39:45 | INFO     | student_mgmt | RESPONSE GET /docs -> 200  (11.42 ms)
2026-05-22 10:39:46 | INFO     | student_mgmt | REQUEST  GET /openapi.json
2026-05-22 10:39:46 | INFO     | student_mgmt | RESPONSE GET /openapi.json -> 200  (158.28 ms)
2026-05-22 10:43:59 | INFO     | student_mgmt | REQUEST  GET /favicon.ico
2026-05-22 10:43:59 | WARNING  | student_mgmt | RESPONSE GET /favicon.ico -> 404  (8.68 ms)
2026-05-22 10:44:45 | INFO     | student_mgmt | REQUEST  GET //dashboard
2026-05-22 10:44:45 | WARNING  | student_mgmt | RESPONSE GET //dashboard -> 404  (14.81 ms)
2026-05-22 10:44:58 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 10:44:58 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 403  (2.25 ms)
2026-05-22 10:46:20 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 10:46:20 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 403  (10.57 ms)
2026-05-22 10:47:11 | INFO     | student_mgmt | REQUEST  POST /auth/register
2026-05-22 10:47:11 | INFO     | student_mgmt | Registration attempt for username='string'
2026-05-22 10:47:12 | INFO     | student_mgmt | User registered successfully: id=1 username='string' role='student'
2026-05-22 10:47:12 | INFO     | student_mgmt | RESPONSE POST /auth/register -> 201  (460.67 ms)
2026-05-22 10:47:13 | INFO     | student_mgmt | REQUEST  POST /auth/register
2026-05-22 10:47:13 | INFO     | student_mgmt | Registration attempt for username='string'
2026-05-22 10:47:13 | WARNING  | student_mgmt | Registration failed — username already exists: 'string'
2026-05-22 10:47:13 | WARNING  | student_mgmt | RESPONSE POST /auth/register -> 400  (10.10 ms)
2026-05-22 10:47:16 | INFO     | student_mgmt | REQUEST  POST /auth/register
2026-05-22 10:47:16 | INFO     | student_mgmt | Registration attempt for username='string'
2026-05-22 10:47:16 | WARNING  | student_mgmt | Registration failed — username already exists: 'string'
2026-05-22 10:47:16 | WARNING  | student_mgmt | RESPONSE POST /auth/register -> 400  (13.65 ms)
2026-05-22 10:47:24 | INFO     | student_mgmt | REQUEST  POST /auth/login
2026-05-22 10:47:24 | INFO     | student_mgmt | Login attempt for username='string'
2026-05-22 10:47:25 | INFO     | student_mgmt | Login SUCCESS for username='string' role='student'
2026-05-22 10:47:25 | INFO     | student_mgmt | RESPONSE POST /auth/login -> 200  (447.60 ms)
2026-05-22 10:47:26 | INFO     | student_mgmt | REQUEST  POST /auth/login
2026-05-22 10:47:26 | INFO     | student_mgmt | Login attempt for username='string'
2026-05-22 10:47:26 | INFO     | student_mgmt | Login SUCCESS for username='string' role='student'
2026-05-22 10:47:26 | INFO     | student_mgmt | RESPONSE POST /auth/login -> 200  (382.53 ms)
